First Name,Last Name,Draft Year,Years of Service
Larry,Jones,0,2
Darren,Daye,0,5
Theo,Ratliff,1995,16
Antonis,Fotsis,2001,1
Bill,Buntin,0,1
Alex,Stepheson,2011,0
Tom,Marshall,0,4
Hilton,Armstrong,2006,6
Rob,Kurz,2008,1
Samardo,Samuels,2010,3
Willie,Norwood,0,7
Shareef,Abdur-Rahim,1996,12
Wang,Zhi-zhi,1999,5
Howie,Dallmar,0,3
Ollie,Johnson,0,10
Dean,Tolson,0,3
Carl,Herrera,1990,8
D.C.,Wilcutt,0,2
Andrew,Toney,0,8
Rory,White,0,5
Marcus,Liberty,0,4
Thomas,Wilson,0,1
Aaron,McKie,1994,13
Coby,Karl,2007,2
Jon,Koncak,1985,11
Murray,Mitchell,0,1
Randy,Breuer,0,11
Mark,Strickland,0,8
Mickey,Rottner,0,2
Eric,Piatkowski,1994,14
Bismack,Biyombo,2011,8
Ryan,Reid,2010,1
Gerald,Henderson,2009,7
Baron,Davis,1999,13
Rodions,Kurucs,2018,2
Robert,Reid,0,13
Nick,Weatherspoon,0,7
Ron,Horn,0,2
Everette,Stephens,0,2
Donald,Ackerman,0,1
Rickey,Green,0,14
Kevin,Murphy,2012,1
Mike,Smith,2000,1
Kelvin,Ransey,0,6
Rich,Rinaldi,0,3
Nicolo,Melli,2013,1
Hal,Greer,0,15
Pat,Garrity,1998,10
Cecil,Hankins,0,2
Anfernee,Hardaway,1993,14
Nate,Archibald,0,13
Larry,Cannon,0,1
Yvon,Joseph,0,1
Matt,Thomas,2017,1
KJ,McDaniels,2014,2
Ike,Fontaine,0,0
Aubrey,Davis,0,1
Billy,Reid,0,1
Derek,Grimm,0,0
Tim,Legler,0,10
Glenn,Robinson,1994,11
Beno,Udrih,2004,12
Stan,Brown,0,2
Jack,Turner,0,1
Ralph,Polson,0,1
Ken,Sears,0,8
Jackie,Dinkins,0,1
Harrison,Barnes,2012,7
Kadeem,Allen,2017,3
Bob,Pettit,0,11
Daniel,Gafford,2019,1
Joe,Johnson,2001,16
Brian,Quinnett,0,3
Nik,Stauskas,2014,4
Donnie,Boyce,1995,2
Ivan,McFarlin,2004,1
Curtis,Perry,0,8
Joel,Kramer,0,5
Winfred,Jacobs,0,1
Danny,Granger,2005,10
Gorgui,Dieng,2013,6
Mark,Hendrickson,1996,4
John,McConathy,0,1
Isaac,Humphries,2017,1
Marcus,Williams,2006,4
George,McGinnis,0,7
Zhou,Qi,2016,2
Rakeem,Christmas,2015,1
Paul,Dawkins,0,1
Speedy,Claxton,2000,7
Lou,Tsioropoulos,0,3
Ken,Norman,1987,10
Scott,May,0,7
Phil,Hankinson,0,2
Keith,Smith,0,1
Dick,Mehen,0,3
DaQuan,Jeffries,2019,1
Stan,Miasek,0,6
Yuta,Watanabe,2018,2
Marquis,Daniels,2003,10
Isaiah,Wilson,0,1
Francisco,Garcia,2005,10
Fabricio,Oberto,1997,6
Harold,Fox,0,1
Dick,Farley,0,3
Luke,Walton,2003,10
Arron,Afflalo,2007,10
Matthew,Hickey,0,1
Grayson,Allen,2018,2
DeVaughn,Akoon-Purcell,2016,1
Kenny,McIntosh,0,4
Corey,Benjamin,1998,4
Richard,Anderson,0,6
Terrence,Ross,2012,7
Rastko,Cvetkovic,0,1
Bob,Williams,0,2
Vincent,Askew,1987,9
Mike,Gale,0,6
Taurean,Prince,2016,4
Adonis,Jordan,1993,2
Ed,Smith,0,1
Nick,Van Exel,1993,13
Jerry,Eaves,0,4
Andre,Wakefield,0,2
Dave,Meyers,0,4
Steve,Hamer,1996,1
Mike,Riordan,0,9
Brendan,McCann,0,3
